country	duration	num	minutes	mean	diff	time	diff_string	diff_rank
Sri Lanka	00:30:50	169	30.833333333333332	29.425	0.04786179552534686	30:50	5%	114
Sao Tome And Principe	00:22:35	155	22.583333333333332	23.715	-0.04771944620141966	22:35	-5%	115
Cyprus	00:09:04	45	9.066666666666666	9.511666666666667	-0.04678465042929736	9:04	-5%	116
Georgia	00:11:47	65	11.783333333333333	12.351666666666667	-0.04601268384833357	11:47	-5%	117
Iran	00:14:02	80	14.033333333333333	14.693333333333333	-0.044918330308529986	14:02	-4%	118
South Sudan	00:30:44	171	30.733333333333334	29.418333333333333	0.044700016996204184	30:44	4%	119
Djibouti	00:08:56	48	8.933333333333334	9.338333333333335	-0.043369623416027236	8:56	-4%	120
Eswatini	00:12:30	109	12.5	11.985	0.04297037964121819	12:30	4%	121
Singapore	00:28:07	161	28.116666666666667	26.99	0.041743855749042824	28:07	4%	122
Dominica	00:09:03	49	9.05	9.415000000000001	-0.038767923526287884	9:03	-4%	123
Monaco	00:13:34	119	13.566666666666666	14.035	-0.03336895855599098	13:34	-3%	124
Madagascar	00:11:38	106	11.633333333333333	12.031666666666666	-0.033107078542734425	11:38	-3%	125
Angola	00:08:07	5	8.116666666666667	8.391666666666667	-0.03277060575968227	8:07	-3%	126
Denmark	00:09:28	47	9.466666666666667	9.166666666666668	0.032727272727272716	9:28	3%	127
Guatemala	00:11:14	70	11.233333333333333	11.606666666666666	-0.032165422171166025	11:14	-3%	128
Austria	00:10:05	10	10.083333333333334	9.775	0.03154305200341012	10:05	3%	129
Belize	00:11:16	19	11.266666666666667	10.923333333333334	0.03143118706133663	11:16	3%	130
Laos	00:12:33	96	12.55	12.943333333333333	-0.030388874581509073	12:33	-3%	131
Finland	00:11:42	60	11.7	11.371666666666666	0.028872929796277313	11:42	3%	132
St. Kitts And Nevis	00:20:43	149	20.716666666666665	21.318333333333335	-0.028222969275271792	20:43	-3%	133
Croatia	00:10:24	43	10.4	10.115	0.02817597627286217	10:24	3%	134
Ecuador	00:09:18	52	9.3	9.568333333333333	-0.02804389479184799	9:18	-3%	135
Armenia	00:09:22	8	9.366666666666667	9.116666666666667	0.027422303473491727	9:22	3%	136
Slovenia	00:25:31	163	25.516666666666666	26.21	-0.02645300775785331	25:31	-3%	137
Azerbaijan	00:09:39	11	9.65	9.903333333333332	-0.02558061258835398	9:39	-3%	138
Cameroon	00:11:30	31	11.5	11.23	0.024042742653606286	11:30	2%	139
Oman	00:16:54	135	16.9	17.315	-0.023967658099913525	16:54	-2%	140
Bangladesh	00:10:36	15	10.6	10.371666666666666	0.022015105254700407	10:36	2%	141
Sudan	00:29:11	170	29.183333333333334	29.830000000000002	-0.021678399821209116	29:11	-2%	142
Mongolia	00:14:38	120	14.633333333333333	14.328333333333333	0.021286495289054352	14:38	2%	143
Samoa	00:23:20	153	23.333333333333332	22.85	0.021152443471918136	23:20	2%	144
Lesotho	00:11:35	99	11.583333333333334	11.831666666666667	-0.020988871672066423	11:35	-2%	145
Kenya	00:13:24	90	13.4	13.686666666666667	-0.020944958597174934	13:24	-2%	146
Philippines	00:19:42	142	19.7	20.096666666666668	-0.01973793332227569	19:42	-2%	147
Botswana	00:11:12	24	11.2	11.415000000000001	-0.018834866403854678	11:12	-2%	148
Maldives	00:11:49	110	11.816666666666666	12.031666666666666	-0.017869511012605588	11:49	-2%	149
Seychelles	00:25:41	159	25.683333333333334	26.125	-0.016905901116427424	25:41	-2%	150
Republic Of North Macedonia	00:11:45	61	11.75	11.945	-0.016324822101297598	11:45	-2%	151
Dominican Republic	00:09:16	50	9.266666666666667	9.42	-0.016277423920735945	9:16	-2%	152
Indonesia	00:14:53	79	14.883333333333333	14.646666666666667	0.016158397815202452	14:53	2%	153
Rwanda	00:21:00	148	21	21.31	-0.014547160957297023	21:00	-1%	154
Bosnia And Herzegovina	00:11:19	23	11.316666666666666	11.458333333333334	-0.012363636363636465	11:19	-1%	155
Kiribati	00:13:38	91	13.633333333333333	13.796666666666667	-0.01183860835950723	13:38	-1%	156
Liberia	00:11:59	100	11.983333333333333	11.846666666666668	0.011536297129994155	11:59	1%	157
Bolivia	00:11:32	22	11.533333333333333	11.403333333333332	0.011400175387313638	11:32	1%	158
Paraguay	00:18:08	140	18.133333333333333	18.331666666666667	-0.010819165378670781	18:08	-1%	159
East Timor	00:09:28	51	9.466666666666667	9.57	-0.01079763148728663	9:28	-1%	160
Burkina Faso	00:11:32	28	11.533333333333333	11.421666666666667	0.009776740113818683	11:32	1%	161
Belgium	00:10:59	18	10.983333333333333	10.883333333333335	0.009188361408881907	10:59	1%	162
Namibia	00:15:06	125	15.1	14.966666666666669	0.00890868596881944	15:06	1%	163
Benin	00:11:11	20	11.183333333333334	11.095	0.007961544239146745	11:11	1%	164
Bulgaria	00:11:30	27	11.5	11.583333333333334	-0.007194244604316613	11:30	-1%	165
Congo (Republic)	00:11:38	41	11.633333333333333	11.553333333333333	0.006924408540103899	11:38	1%	166
Somalia	00:27:03	165	27.05	27.236666666666668	-0.006853506302778145	27:03	-1%	167
Tajikistan	00:29:06	176	29.1	29.29	-0.006486855582109818	29:06	-1%	168
Costa Rica	00:10:35	42	10.583333333333334	10.516666666666667	0.006339144215530945	10:35	1%	169
Peru	00:18:29	141	18.483333333333334	18.378333333333334	0.005713249297179646	18:29	1%	170
Cambodia	00:11:16	30	11.266666666666667	11.203333333333333	0.005653079440642861	11:16	1%	171
Papua New Guinea	00:18:13	139	18.216666666666665	18.12333333333333	0.005149898841272815	18:13	1%	172
Bhutan	00:11:20	21	11.333333333333334	11.378333333333334	-0.003954885015380105	11:20	0%	173
Brunei	00:11:24	26	11.4	11.440000000000001	-0.0034965034965035446	11:24	0%	174
Solomon Islands	00:26:39	164	26.65	26.725	-0.002806361085126441	26:39	0%	175
Luxembourg	00:11:42	105	11.7	11.731666666666666	-0.0026992470521380874	11:42	0%	176
St. Vincent And The Grenadines	00:22:35	151	22.583333333333332	22.618333333333332	-0.0015474172868616964	22:35	0%	177
Afghanistan	00:06:42	1	6.7	NA	NA	6:42	NA%	178
Albania	00:07:28	2	7.466666666666667	NA	NA	7:28	NA%	179
Algeria	00:07:39	3	7.65	NA	NA	7:39	NA%	180
Andorra	00:06:42	4	6.7	NA	NA	6:42	NA%	181
Trinidad And Tobago	00:31:13	182	31.216666666666665	NA	NA	31:13	NA%	182
Tunisia	00:31:18	183	31.3	NA	NA	31:18	NA%	183
Turkey	00:35:30	184	35.5	NA	NA	35:30	NA%	184
Turkminestan	00:31:56	185	31.933333333333334	NA	NA	31:56	NA%	185
Tuvalu	00:33:08	186	33.13333333333333	NA	NA	33:08	NA%	186
